,name,SMT-CBS,3,5,10,EXP,EXP 1.4,EXP 1.6
0,maze-32-32-2_a2,0.17,0.22,0.41,0.19,0.19,0.19,0.17
1,maze-32-32-2_a4,0.15,0.15,0.17,0.15,0.13,0.14,0.14
2,maze-32-32-2_a6,0.9,0.95,1.14,1.08,0.86,0.83,0.8
3,maze-32-32-2_a8,1.01,0.96,1.25,1.11,1.06,0.97,0.91
4,maze-32-32-2_a10,0.99,0.97,1.1,1.09,1.02,0.88,0.91
5,maze-32-32-2_a12,1.07,1.07,1.45,1.36,1.23,1.06,1.04
6,maze-32-32-2_a14,2.66,2.69,3.24,3.8,3.12,2.59,2.51
7,maze-32-32-2_a16,3.77,3.4,4.63,5.62,3.7,2.85,2.98
8,maze-32-32-2_a18,6.39,6.7,8.82,8.52,7.99,6.46,6.74
9,maze-32-32-2_a20,10.84,10.54,20.18,30.64,10.41,12.04,10.99
10,maze-32-32-2_a22,5.78,7.99,10.38,17.4,8.47,7.82,8.44
11,maze-32-32-2_a24,11.4,12.44,13.71,36.39,11.98,9.45,14.43
12,maze-32-32-2_a26,9.63,15.68,12.29,32.56,11.77,11.62,9.69
13,maze-32-32-2_a28,14.97,20.66,18.16,68.12,27.88,19.32,16.67
14,maze-32-32-2_a30,27.72,29.26,49.14,84.27,36,25.97,29.86
